Grid ID,Config ID,Run ID,Context,Fog of War,Grid,Bucket,Sub-stratum,Pay4Partner,Contract Type,Total Turns,Non-Cooperative Baseline Player 0,Non-Cooperative Baseline Player 1,Total Score,Score Player 0,Score Player 1,Gini,Max Possible Score,Reached Goal Player 0,Reached Goal Player 1,Total Trades Proposed,Total Trades Accepted,Total Trades Rejected,Total P4P Promises Kept,Total P4P Promises Broken,amount_received_by_0_from_trades,amount_received_by_1_from_trades,contract_accepted,contract_negotiaion_length,num_tiles_in_contract,num_tiles_promised_to_receive_from_contract_0,num_tiles_promised_to_receive_from_contract_1,points_for_completion_promised_to_0,points_for_completion_promised_to_1,B Min Trades Path,B Max Trades Path,R Min Trades Path,R Max Trades Path,Trade Asymmetry
40,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250918_131546,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,contract_for_finishing,6,0,0,130,0,0,0.0,130,True,True,1,1,0,0,0,2,2,1,2,,0,0,10,10,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_contract_for_finishing,20250918_131706,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,contract_for_finishing,6,0,0,130,0,0,0.0,130,True,True,1,1,0,0,0,2,2,1,2,,0,0,10,10,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_none,20250918_125139,True,"[False, False]",,Mutual Dependency,"MD (1,2)",False,,6,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,2,3,0,0,0.0,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_none,20250918_130348,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,,6,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,2,3,0,0,0.0,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_none,20250918_130449,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,,6,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,2,3,0,0,0.0,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_none,20250918_131159,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,,6,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,2,3,0,0,0.0,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_none,20250918_131300,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,,6,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,2,3,0,0,0.0,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_strict,20250918_131323,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,strict,6,0,0,130,0,0,0.03846153846153855,130,True,True,0,0,0,0,0,0,0,1,2,3.0,2,1,0,0,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_strict,20250918_131452,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,strict,6,0,0,130,0,0,0.03846153846153855,130,True,True,0,0,0,0,0,0,0,1,2,5.0,2,3,0,0,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250918_131751,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,tile_with_judge_implementation,7,0,0,130,0,0,0.03846153846153855,130,True,True,0,0,0,0,0,0,0,1,2,,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4pfalse_contract_tile_with_judge_implementation,20250918_131923,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",False,tile_with_judge_implementation,6,0,0,130,0,0,0.03846153846153855,130,True,True,0,0,0,0,0,0,0,1,2,,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4ptrue_contract_none,20250918_125238,True,"[False, False]",,Mutual Dependency,"MD (1,2)",True,,7,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4ptrue_contract_none,20250918_130037,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",True,,6,0,0,130,0,0,0.0,130,True,True,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4ptrue_contract_none,20250918_130306,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",True,,6,0,0,130,0,0,0.03846153846153855,130,True,True,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4ptrue_contract_none,20250918_130948,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",True,,6,0,0,130,0,0,0.03846153846153855,130,True,True,2,1,1,0,0,0,0,0,0,0.0,0,0,0,0,1,3,2,3,1
40,ctx1_fog00_p4ptrue_contract_none,20250918_131137,True,"[False, False]","[['G', 'R', 'B', 'R'], ['B', 'R', 'B', 'B'], ['R', 'B', 'B', 'R'], ['R', 'R', 'B', 'G']]",Mutual Dependency,"MD (1,2)",True,,4,0,0,0,0,0,0.0,130,False,False,8,0,8,0,0,0,0,0,0,0.0,0,0,0,0,1,3,2,3,1
